xyzDMxyzCountry,xyzDMxyzRequestYear,xyzDPxyzsi_pov_nahc,xyzDMxyzFootnote,ymax
AFG,2007,33.7,0,2016
AFG,2011,38.3,0,2016
AFG,2016,54.5,0,2016
AGO,2008,36.599998,1,2018
AGO,2018,32.3,2,2018
ALB,2002,25.4,0,2019
ALB,2005,18.5,0,2019
ALB,2016,23.7,0,2019
ALB,2017,23.4,0,2019
ALB,2018,23,0,2019
ALB,2019,21.8,0,2019
ARG,2016,30.3,0,2020
ARG,2017,25.7,0,2020
ARG,2018,32,0,2020
ARG,2019,35.5,0,2020
ARG,2020,42,0,2020
ARM,2004,53.5,0,2020
ARM,2005,40.1,0,2020
ARM,2006,30.2,0,2020
ARM,2007,26.4,0,2020
ARM,2008,27.6,0,2020
ARM,2009,34.1,0,2020
ARM,2010,35.8,0,2020
ARM,2011,35,0,2020
ARM,2012,32.4,0,2020
ARM,2013,32,0,2020
ARM,2014,30,0,2020
ARM,2015,29.8,0,2020
ARM,2016,29.4,0,2020
ARM,2017,25.7,0,2020
ARM,2018,23.54,0,2020
ARM,2019,26.4,1,2020
ARM,2020,27,1,2020
AUT,1994,13,0,2019
AUT,1995,14,0,2019
AUT,1996,13,0,2019
AUT,1997,13,0,2019
AUT,1998,12,0,2019
AUT,1999,12,0,2019
AUT,2000,12,0,2019
AUT,2002,13.2,1,2019
AUT,2003,13,1,2019
AUT,2004,12.6,1,2019
AUT,2005,12.6,1,2019
AUT,2006,12,1,2019
AUT,2007,15.2,1,2019
AUT,2008,14.5,1,2019
AUT,2009,14.7,1,2019
AUT,2010,14.5,1,2019
AUT,2011,14.4,1,2019
AUT,2012,14.4,1,2019
AUT,2013,14.1,1,2019
AUT,2014,13.9,1,2019
AUT,2015,14.1,1,2019
AUT,2016,14.4,1,2019
AUT,2017,14.3,1,2019
AUT,2018,13.3,1,2019
AUT,2019,13.9,1,2019
AZE,2001,49.599998,0,2012
AZE,2007,15.8,0,2012
AZE,2008,13.2,0,2012
AZE,2009,10.9,0,2012
AZE,2010,9.1000004,0,2012
AZE,2011,7.5999999,0,2012
AZE,2012,6,0,2012
BDI,2006,67.099998,0,2013
BDI,2013,64.9,0,2013
BEL,1994,16,0,2019
BEL,1995,15,0,2019
BEL,1996,14,0,2019
BEL,1997,14,0,2019
BEL,1998,13,0,2019
BEL,1999,13,0,2019
BEL,2000,13,0,2019
BEL,2002,15.4,1,2019
BEL,2003,14.3,1,2019
BEL,2004,14.8,1,2019
BEL,2005,14.7,1,2019
BEL,2006,15.2,1,2019
BEL,2007,14.7,1,2019
BEL,2008,14.6,1,2019
BEL,2009,14.6,1,2019
BEL,2010,15.3,1,2019
BEL,2011,15.3,1,2019
BEL,2012,15.1,1,2019
BEL,2013,15.5,1,2019
BEL,2014,14.9,1,2019
BEL,2015,15.5,1,2019
BEL,2016,15.9,1,2019
BEL,2017,16.4,1,2019
BEL,2018,14.8,2,2019
BEL,2019,14.1,2,2019
BEN,2006,37.5,0,2019
BEN,2007,33,0,2019
BEN,2010,35.2,0,2019
BEN,2011,36.200001,0,2019
BEN,2015,40.1,0,2019
BEN,2019,38.5,0,2019
BFA,2003,51.099998,0,2018
BFA,2009,46.700001,0,2018
BFA,2014,40.099998,0,2018
BFA,2018,41.4,1,2018
BGD,2000,48.9,0,2016
BGD,2005,40,0,2016
BGD,2016,24.3,0,2016
BGR,1999,14,0,2019
BGR,2000,14,0,2019
BGR,2001,16,0,2019
BGR,2002,14,0,2019
BGR,2005,18.4,0,2019
BGR,2006,22,0,2019
BGR,2007,21.4,0,2019
BGR,2008,21.8,0,2019
BGR,2009,20.7,0,2019
BGR,2010,22.2,0,2019
BGR,2011,21.2,0,2019
BGR,2012,21,0,2019
BGR,2013,21.8,0,2019
BGR,2014,22,0,2019
BGR,2015,22.9,1,2019
BGR,2016,23.4,1,2019
BGR,2017,22,1,2019
BGR,2018,22.6,1,2019
BGR,2019,23.8,1,2019
BIH,2007,18.200001,0,2015
BIH,2011,17.9,0,2015
BIH,2015,16.9,0,2015
BLR,2000,41.900002,0,2020
BLR,2001,28.9,0,2020
BLR,2002,30.5,0,2020
BLR,2003,27.1,0,2020
BLR,2004,17.799999,0,2020
BLR,2005,12.7,0,2020
BLR,2006,11.1,0,2020
BLR,2007,7.6999998,0,2020
BLR,2008,6.0999999,0,2020
BLR,2009,5.4000001,0,2020
BLR,2010,5.2,0,2020
BLR,2011,7.3000002,0,2020
BLR,2012,6.3000002,0,2020
BLR,2013,5.5,0,2020
